,Name,Height,Weight,Position,Foot,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Age,Nation,League,Team
595,Yves Bissouma,"182cm / 6'0""",78kg / 172lb,CDM,Right,71,67,75,81,78,77,28,Mali,Premier League,Spurs
596,Daley Blind,"180cm / 5'11""",72kg / 159lb,CB,Left,36,62,83,77,83,70,35,Holland,LALIGA EA SPORTS,Girona FC
597,Denis Bouanga,"180cm / 5'11""",71kg / 157lb,LW,Right,85,81,74,79,38,79,30,Gabon,MLS,LAFC
598,Yan Couto,"168cm / 5'6""",60kg / 132lb,RM,Right,85,61,76,81,72,64,22,Brazil,Bundesliga,Borussia Dortmund
599,Alessandro Buongiorno,"190cm / 6'3""",86kg / 190lb,CB,Left,65,45,69,65,82,76,25,Italy,Serie A Enilive,SSC Napoli
600,Kessya Bussy,"165cm / 5'5""",52kg / 115lb,LM,Right,81,78,73,84,43,54,23,France,Arkema PL,Paris FC
601,Davide Calabria,"177cm / 5'10""",70kg / 154lb,RB,Right,78,57,70,76,79,71,28,Italy,Serie A Enilive,Milano FC
602,Viola Calligaris,"167cm / 5'6""",58kg / 128lb,CB,Right,79,59,72,75,81,80,28,Switzerland,Calcio A Femminile,Juventus
603,Deyna Castellanos,"170cm / 5'7""",63kg / 139lb,CM,Right,74,83,80,83,55,72,25,Venezuela,NWSL,Bay FC
604,Lucas Chevalier,"189cm / 6'2""",78kg / 172lb,GK,Right,80,79,72,83,45,78,23,France,Ligue 1 McDonald's,LOSC Lille
605,Samuel Chukwueze,"172cm / 5'8""",70kg / 154lb,RW,Left,88,74,74,83,36,61,25,Nigeria,Serie A Enilive,Milano FC
606,Jonathan Clauss,"178cm / 5'10""",69kg / 152lb,RB,Right,88,69,76,78,73,69,32,France,Ligue 1 McDonald's,OGC Nice
607,Rachel Corboz,"165cm / 5'5""",58kg / 128lb,CM,Right,58,74,80,81,71,64,28,United States,Arkema PL,Stade de Reims
608,Marine Dafeur,"166cm / 5'5""",66kg / 146lb,CM,Left,73,74,80,80,68,76,30,Algeria,Arkema PL,FC Fleury 91
609,Abby Dahlkemper,"170cm / 5'7""",60kg / 132lb,CB,Right,46,47,61,63,84,72,31,United States,NWSL,Bay FC
610,Kevin Danso,"190cm / 6'3""",85kg / 187lb,CB,Right,75,32,57,62,80,85,26,Austria,Ligue 1 McDonald's,RC Lens
611,Tierna Davidson,"177cm / 5'10""",65kg / 143lb,CB,Left,68,50,65,65,84,76,26,United States,NWSL,NJ/NY Gotham
612,Evanilson,"181cm / 5'11""",77kg / 170lb,ST,Right,76,78,65,78,37,80,25,Brazil,Premier League,AFC Bournemouth
613,De Marcos,"182cm / 6'0""",78kg / 172lb,RB,Right,79,64,74,75,77,78,35,Spain,LALIGA EA SPORTS,Athletic Club
614,Michele Di Gregorio,"187cm / 6'2""",82kg / 181lb,GK,Right,82,78,78,82,56,82,27,Italy,Serie A Enilive,Juventus
615,Eric Dier,"191cm / 6'3""",91kg / 201lb,CB,Right,58,63,70,63,81,81,31,England,Bundesliga,FC Bayern München
616,Jérémy Doku,"173cm / 5'8""",77kg / 170lb,LW,Right,92,72,73,86,30,68,22,Belgium,Premier League,Manchester City
617,Éderson,"183cm / 6'0""",86kg / 190lb,CM,Right,72,68,75,79,77,80,25,Brazil,Serie A Enilive,Bergamo Calcio
618,Barbara Dunst,"168cm / 5'6""",60kg / 132lb,CM,Right,66,69,76,81,76,71,27,Austria,GPFBL,Frankfurt
619,Jun Endo,"163cm / 5'4""",60kg / 132lb,LW,Left,86,76,76,79,45,70,24,Japan,NWSL,Angel City FC
620,Wataru Endo,"178cm / 5'10""",77kg / 170lb,CDM,Right,60,68,71,78,79,76,32,Japan,Premier League,Liverpool
621,Pervis Estupiñán,"175cm / 5'9""",79kg / 174lb,LB,Left,78,57,75,79,77,75,27,Ecuador,Premier League,Brighton
622,Wladimiro Falcone,"196cm / 6'5""",85kg / 187lb,GK,Right,83,79,75,84,27,76,29,Italy,Serie A Enilive,Lecce
623,Laura Feiersinger,"167cm / 5'6""",56kg / 123lb,CM,Right,82,68,77,80,68,69,31,Austria,GPFBL,1. FC Köln
624,João Félix,"181cm / 5'11""",70kg / 154lb,LW,Right,80,78,77,84,40,67,25,Portugal,Premier League,Chelsea
625,Naomie Feller,"170cm / 5'7""",65kg / 143lb,ST,Right,91,80,70,81,34,75,23,France,Liga F,Real Madrid CF
626,Suso,"177cm / 5'10""",70kg / 154lb,RM,Left,72,76,80,83,32,51,31,Spain,LALIGA EA SPORTS,Sevilla FC
627,Tatiana Pinto,"167cm / 5'6""",55kg / 121lb,CM,Right,76,77,76,79,68,66,30,Portugal,Liga F,Atlético de Madrid
628,Jessie Fleming,"164cm / 5'5""",54kg / 119lb,CM,Right,82,77,77,82,68,51,26,Canada,NWSL,Portland Thorns
629,Seko Fofana,"185cm / 6'1""",74kg / 163lb,CM,Right,71,77,76,78,73,86,29,Côte d'Ivoire,ROSHN Saudi League,Ettifaq FC
630,Juan Foyth,"187cm / 6'2""",83kg / 183lb,RB,Right,71,46,71,72,81,77,27,Argentina,LALIGA EA SPORTS,Villarreal CF
631,Sanni Franssi,"167cm / 5'6""",65kg / 143lb,ST,Right,85,79,74,79,32,76,29,Finland,Liga F,Real Sociedad
632,Javi Galán,"172cm / 5'8""",70kg / 154lb,LB,Left,79,56,74,79,77,72,30,Spain,LALIGA EA SPORTS,Atlético de Madrid
633,Lola Gallardo,"172cm / 5'8""",57kg / 126lb,GK,Right,81,75,77,82,51,80,31,Spain,Liga F,Atlético de Madrid
634,Maëlle Garbino,"162cm / 5'4""",54kg / 119lb,CAM,Left,73,78,78,82,53,60,28,France,Arkema PL,Paris FC
635,Pepelu,"186cm / 6'1""",73kg / 161lb,CM,Right,68,70,80,77,75,78,26,Spain,LALIGA EA SPORTS,Valencia CF
636,Hanna Glas,"172cm / 5'8""",64kg / 141lb,RB,Right,73,50,70,70,81,77,31,Sweden,NWSL,Seattle Reign
637,Nuno Santos,"177cm / 5'10""",72kg / 159lb,LM,Left,83,81,76,80,70,76,30,Portugal,Liga Portugal,Sporting CP
638,Joe Gomez,"188cm / 6'2""",77kg / 170lb,CB,Right,82,28,71,72,80,79,27,England,Premier League,Liverpool
639,Nicolás González,"180cm / 5'11""",72kg / 159lb,RW,Left,85,76,73,83,45,62,26,Argentina,Serie A Enilive,Juventus
640,Ana González,"160cm / 5'3""",61kg / 134lb,CDM,Right,66,68,71,69,80,85,29,Spain,Liga F,Levante Badalona
641,Mario Götze,"176cm / 5'9""",72kg / 159lb,CAM,Right,55,74,83,83,55,69,32,Germany,Bundesliga,Frankfurt
642,Vincenzo Grifo,"180cm / 5'11""",80kg / 176lb,LM,Right,69,77,82,81,43,64,31,Italy,Bundesliga,SC Freiburg
643,Nemanja Gudelj,"187cm / 6'2""",79kg / 174lb,CB,Right,54,73,78,70,79,85,33,Serbia,LALIGA EA SPORTS,Sevilla FC
644,Albert Guðmundsson,"178cm / 5'10""",78kg / 172lb,ST,Right,87,79,70,83,37,72,27,Iceland,Serie A Enilive,Fiorentina
645,Mattéo Guendouzi,"185cm / 6'1""",68kg / 150lb,CM,Right,72,71,78,79,75,81,25,France,Serie A Enilive,Latium
646,Sheila,"170cm / 5'7""",64kg / 141lb,ST,Right,80,80,68,77,52,70,28,Spain,Liga F,Atlético de Madrid
647,Malo Gusto,"178cm / 5'10""",67kg / 148lb,RB,Right,88,49,75,78,73,75,21,France,Premier League,Chelsea
648,Miguel Gutiérrez,"180cm / 5'11""",73kg / 161lb,LB,Left,81,64,76,80,75,72,23,Spain,LALIGA EA SPORTS,Girona FC
649,Amadou Haidara,"175cm / 5'9""",72kg / 159lb,CM,Right,66,72,79,81,72,69,27,Mali,Bundesliga,RB Leipzig
650,Didi Haračić,"173cm / 5'8""",65kg / 143lb,GK,Right,80,78,73,80,43,78,32,Bosnia and Herzegovina,NWSL,Angel City FC
651,Danilo Pereira,"188cm / 6'2""",83kg / 183lb,CB,Right,50,63,70,70,80,84,33,Portugal,ROSHN Saudi League,Al Ittihad
652,Jordan Henderson,"187cm / 6'2""",80kg / 176lb,CDM,Right,64,72,81,76,75,78,34,England,Eredivisie,Ajax
653,Oihane Hernández,"165cm / 5'5""",59kg / 130lb,RB,Right,77,62,75,73,78,74,24,Spain,Liga F,Real Madrid CF
654,Morten Hjulmand,"185cm / 6'1""",77kg / 170lb,CDM,Right,65,66,76,74,75,83,25,Denmark,Liga Portugal,Sporting CP
655,Pierre-Emile Højbjerg,"187cm / 6'2""",84kg / 185lb,CDM,Right,50,73,76,74,77,80,29,Denmark,Ligue 1 McDonald's,OM
656,Ibañez,"185cm / 6'1""",73kg / 161lb,CB,Right,85,32,45,60,81,82,26,Brazil,ROSHN Saudi League,Al Ahli
657,Sophie Ingle,"173cm / 5'8""",62kg / 137lb,CDM,Right,64,65,75,76,77,68,33,Wales,Barclays WSL,Chelsea
658,Kerolin Nicoli,"164cm / 5'5""",60kg / 132lb,RM,Right,81,74,76,81,42,75,25,Brazil,NWSL,NC Courage
659,Lisa Karl,"168cm / 5'6""",60kg / 132lb,RB,Right,81,64,70,80,79,72,28,Germany,GPFBL,SC Freiburg
660,Khiara Keating,"167cm / 5'6""",70kg / 154lb,GK,Right,78,79,81,80,31,80,20,England,Barclays WSL,Manchester City
661,Sophia Kleinherne,"169cm / 5'7""",56kg / 123lb,CB,Right,74,46,67,73,82,74,24,Germany,GPFBL,Frankfurt
662,Rosemonde Kouassi,"164cm / 5'5""",54kg / 119lb,RM,Right,94,80,71,80,37,69,23,Côte d'Ivoire,NWSL,Washington Spirit
663,Bento,"190cm / 6'3""",80kg / 176lb,GK,Right,79,76,77,83,28,81,25,Brazil,ROSHN Saudi League,Al Nassr
664,Hayley Ladd,"172cm / 5'8""",64kg / 141lb,CDM,Right,59,57,72,70,78,78,31,Wales,Barclays WSL,Manchester Utd
665,Maëlle Lakrar,"172cm / 5'8""",56kg / 123lb,CB,Right,76,46,67,71,83,74,24,France,Liga F,Real Madrid CF
666,Lena Lattwein,"176cm / 5'9""",65kg / 143lb,CDM,Right,69,71,78,81,75,81,24,Germany,GPFBL,VfL Wolfsburg
667,Thomas Lemar,"171cm / 5'7""",66kg / 146lb,CM,Left,81,77,81,83,67,64,29,France,LALIGA EA SPORTS,Atlético de Madrid
668,Dominik Livaković,"188cm / 6'2""",79kg / 174lb,GK,Right,80,76,71,83,56,80,30,Croatia,Trendyol Süper Lig,Fenerbahçe
669,Giovani Lo Celso,"177cm / 5'10""",68kg / 150lb,CAM,Left,69,74,81,83,68,71,28,Argentina,LALIGA EA SPORTS,Real Betis
670,David López,"183cm / 6'0""",81kg / 179lb,CB,Right,45,60,71,66,82,75,35,Spain,LALIGA EA SPORTS,Girona FC
671,Katie Lund,"185cm / 6'1""",65kg / 143lb,GK,Right,78,78,73,83,40,79,28,United States,NWSL,Rac. Louisville
672,Harry Maguire,"193cm / 6'4""",100kg / 220lb,CB,Right,37,57,70,65,80,82,32,England,Premier League,Man Utd
673,Reinildo,"180cm / 5'11""",73kg / 161lb,LB,Left,84,55,68,75,78,79,31,Mozambique,LALIGA EA SPORTS,Atlético de Madrid
674,Iván Martín,"178cm / 5'10""",70kg / 154lb,CAM,Left,75,75,79,81,68,63,26,Spain,LALIGA EA SPORTS,Girona FC
675,Martín-Prieto,"173cm / 5'8""",74kg / 163lb,ST,Right,78,81,70,75,51,87,31,Spain,Liga Portugal Feminino,SL Benfica
676,Nemanja Matić,"194cm / 6'4""",85kg / 187lb,CDM,Left,35,67,76,76,78,78,36,Serbia,Ligue 1 McDonald's,OL
677,Bryan Mbeumo,"171cm / 5'7""",75kg / 165lb,RW,Left,84,80,74,80,49,76,25,Cameroon,Premier League,Brentford
678,Facundo Medina,"184cm / 6'0""",77kg / 170lb,CB,Left,73,36,69,72,80,79,25,Argentina,Ligue 1 McDonald's,RC Lens
679,Andrea Medina,"165cm / 5'5""",52kg / 115lb,LB,Left,80,55,74,71,79,76,20,Spain,Liga F,Atlético de Madrid
680,Erëleta Memeti,"166cm / 5'5""",57kg / 126lb,LW,Right,84,70,76,80,51,64,25,Kosovo,GPFBL,TSG Hoffenheim
681,Nuria Mendoza,"170cm / 5'7""",66kg / 146lb,CB,Right,71,56,71,65,81,79,29,Spain,Liga F,Madrid CFF
682,Édouard Mendy,"197cm / 6'6""",86kg / 190lb,GK,Right,78,77,75,81,34,79,33,Senegal,ROSHN Saudi League,Al Ahli
683,Dries Mertens,"169cm / 5'7""",61kg / 134lb,CAM,Right,68,78,81,81,43,50,37,Belgium,Trendyol Süper Lig,Galatasaray
684,Daniel Muñoz,"181cm / 5'11""",73kg / 161lb,RB,Right,84,66,72,76,75,82,28,Colombia,Premier League,Crystal Palace
685,Vedat Muriqi,"194cm / 6'4""",92kg / 203lb,ST,Left,53,82,63,73,29,82,30,Kosovo,LALIGA EA SPORTS,RCD Mallorca
686,João Mário,"179cm / 5'10""",73kg / 161lb,LM,Right,68,76,80,82,64,68,32,Portugal,Trendyol Süper Lig,Beşiktaş
687,Jesús Navas,"172cm / 5'8""",60kg / 132lb,RB,Right,81,68,79,80,76,55,39,Spain,LALIGA EA SPORTS,Sevilla FC
688,David Neres,"175cm / 5'9""",69kg / 152lb,LM,Left,86,75,75,86,43,64,28,Brazil,Serie A Enilive,SSC Napoli
689,Alexander Nübel,"193cm / 6'4""",86kg / 190lb,GK,Right,81,76,81,82,48,78,28,Germany,Bundesliga,VfB Stuttgart
690,Kelley O'Hara,"165cm / 5'5""",55kg / 121lb,RB,Right,83,56,72,75,78,73,36,United States,NWSL,NJ/NY Gotham
691,Denise O'Sullivan,"163cm / 5'4""",56kg / 123lb,CDM,Right,82,70,72,78,78,79,31,Republic of Ireland,NWSL,NC Courage
692,Mario Pašalić,"188cm / 6'2""",82kg / 181lb,CM,Right,69,78,77,81,67,77,30,Croatia,Serie A Enilive,Bergamo Calcio
693,Vangelis Pavlidis,"186cm / 6'1""",78kg / 172lb,ST,Right,75,82,67,78,44,82,26,Greece,Liga Portugal,SL Benfica
694,Matteo Politano,"171cm / 5'7""",65kg / 143lb,RW,Left,80,78,78,83,42,54,31,Italy,Serie A Enilive,SSC Napoli
695,Midge Purce,"163cm / 5'4""",56kg / 123lb,RW,Right,89,76,76,79,42,73,29,United States,NWSL,NJ/NY Gotham
696,Ivan Rakitić,"184cm / 6'0""",78kg / 172lb,CM,Right,48,79,83,77,74,70,37,Croatia,Liga Hrvatska,Hajduk Split
697,Géraldine Reuteler,"163cm / 5'4""",56kg / 123lb,CM,Right,89,75,77,84,56,75,25,Switzerland,GPFBL,Frankfurt
698,Faustine Robert,"166cm / 5'5""",48kg / 106lb,RM,Right,89,78,77,79,55,54,30,France,Arkema PL,FC Fleury 91
699,Amir Rrahmani,"192cm / 6'4""",75kg / 165lb,CB,Right,69,51,58,61,82,78,31,Kosovo,Serie A Enilive,SSC Napoli
700,Ruiz de Galarreta,"175cm / 5'9""",69kg / 152lb,CDM,Right,72,65,77,79,77,76,31,Spain,LALIGA EA SPORTS,Athletic Club
701,Allan Saint-Maximin,"173cm / 5'8""",67kg / 148lb,LM,Right,89,72,73,87,29,68,27,France,Trendyol Süper Lig,Fenerbahçe
702,Davinson Sánchez,"187cm / 6'2""",81kg / 179lb,CB,Right,77,47,55,65,79,82,28,Colombia,Trendyol Süper Lig,Galatasaray
703,Diego Carlos,"186cm / 6'1""",79kg / 174lb,CB,Right,63,47,63,67,79,76,31,Brazil,Premier League,Aston Villa
704,Téji Savanier,"172cm / 5'8""",69kg / 152lb,CAM,Right,60,76,84,82,68,68,33,France,Ligue 1 McDonald's,Montpellier
705,Kasper Schmeichel,"189cm / 6'2""",88kg / 194lb,GK,Right,77,76,79,78,42,80,38,Denmark,Scottish Prem,Celtic
706,Elisa Senß,"161cm / 5'3""",55kg / 121lb,CDM,Right,66,68,78,83,74,66,27,Germany,GPFBL,Frankfurt
707,William Carvalho,"187cm / 6'2""",79kg / 174lb,CDM,Right,37,68,78,76,76,84,32,Portugal,LALIGA EA SPORTS,Real Betis
708,Mohamed Simakan,"187cm / 6'2""",82kg / 181lb,CB,Right,75,43,65,69,81,80,24,France,ROSHN Saudi League,Al Nassr
709,Sebastian Szymański,"174cm / 5'9""",60kg / 132lb,CAM,Left,81,77,79,79,51,67,25,Poland,Trendyol Süper Lig,Fenerbahçe
710,Mehdi Taremi,"185cm / 6'1""",83kg / 183lb,ST,Right,78,79,75,81,38,73,32,Iran,Serie A Enilive,Lombardia FC
711,James Tarkowski,"188cm / 6'2""",81kg / 179lb,CB,Right,47,45,64,59,81,81,32,England,Premier League,Everton
712,Jean-Clair Todibo,"190cm / 6'3""",88kg / 194lb,CB,Right,81,47,64,69,80,78,25,France,Premier League,West Ham
713,Ivan Toney,"187cm / 6'2""",76kg / 168lb,ST,Right,77,81,71,75,51,81,28,England,ROSHN Saudi League,Al Ahli
714,Marta Torrejón,"171cm / 5'7""",59kg / 130lb,RB,Right,63,54,74,73,80,75,35,Spain,Liga F,FC Barcelona
715,Marion Torrent,"164cm / 5'5""",53kg / 117lb,CDM,Right,70,58,74,76,81,73,32,France,Arkema PL,Montpellier
716,Ferran Torres,"184cm / 6'0""",77kg / 170lb,LW,Right,84,78,76,81,35,68,25,Spain,LALIGA EA SPORTS,FC Barcelona
717,Hamari Traoré,"175cm / 5'9""",64kg / 141lb,RB,Right,82,57,72,76,75,78,33,Mali,LALIGA EA SPORTS,Real Sociedad
718,Lars Unnerstall,"198cm / 6'6""",103kg / 227lb,GK,Right,80,80,66,83,32,80,34,Germany,Eredivisie,FC Twente
719,André Silva,"185cm / 6'1""",84kg / 185lb,ST,Right,74,80,71,81,46,77,29,Portugal,Bundesliga,RB Leipzig
720,Hans Vanaken,"195cm / 6'5""",77kg / 170lb,CAM,Right,45,79,83,77,60,76,32,Belgium,1A Pro League,Club Brugge
721,Jordan Veretout,"177cm / 5'10""",67kg / 148lb,CM,Right,75,75,78,79,75,80,32,France,Ligue 1 McDonald's,OL
722,Ainhoa Moraza,"166cm / 5'5""",53kg / 117lb,RB,Right,80,45,66,66,77,66,29,Spain,Liga F,Atlético de Madrid
723,Timo Werner,"180cm / 5'11""",76kg / 168lb,LM,Right,91,79,69,80,35,69,29,Germany,Premier League,Spurs
724,Mats Wieffer,"188cm / 6'2""",78kg / 172lb,CDM,Right,70,66,74,75,76,83,25,Holland,Premier League,Brighton
725,Axel Witsel,"186cm / 6'1""",81kg / 179lb,CB,Right,34,63,77,75,83,75,36,Belgium,LALIGA EA SPORTS,Atlético de Madrid
726,Barış Alper Yılmaz,"186cm / 6'1""",80kg / 176lb,RM,Right,91,75,71,82,67,84,24,Turkey,Trendyol Süper Lig,Galatasaray
727,Sarah Zadrazil,"167cm / 5'6""",60kg / 132lb,CDM,Right,51,66,72,80,75,83,32,Austria,GPFBL,FC Bayern München
728,Warren Zaïre-Emery,"178cm / 5'10""",68kg / 150lb,CM,Right,79,68,77,80,75,78,19,France,Ligue 1 McDonald's,Paris SG
729,André-Franck Zambo Anguissa,"184cm / 6'0""",83kg / 183lb,CDM,Right,75,67,71,76,77,88,29,Cameroon,Serie A Enilive,SSC Napoli
730,Lucas Zelarayán,"172cm / 5'8""",70kg / 154lb,CAM,Right,71,77,79,83,46,67,32,Armenia,ROSHN Saudi League,Al Fateh
731,Hakim Ziyech,"181cm / 5'11""",65kg / 143lb,RM,Left,74,77,82,80,50,66,31,Morocco,Trendyol Süper Lig,Galatasaray
732,Zubeldia,"181cm / 5'11""",73kg / 161lb,CB,Right,78,63,74,73,80,82,27,Spain,LALIGA EA SPORTS,Real Sociedad
733,Karim Adeyemi,"180cm / 5'11""",77kg / 170lb,LM,Left,96,73,71,81,34,70,23,Germany,Bundesliga,Borussia Dortmund
734,Sara Agrež,"172cm / 5'8""",66kg / 146lb,LB,Left,76,48,70,65,79,79,24,Slovenia,GPFBL,1. FC Köln
735,Nayef Aguerd,"190cm / 6'3""",76kg / 168lb,CB,Left,67,50,64,64,81,75,28,Morocco,LALIGA EA SPORTS,Real Sociedad
736,Eseosa Aigbogun,"166cm / 5'5""",56kg / 123lb,LB,Right,81,56,69,71,78,67,31,Switzerland,Calcio A Femminile,Roma
737,Rayan Aït-Nouri,"180cm / 5'11""",70kg / 154lb,LB,Left,84,52,73,82,73,70,23,Algeria,Premier League,Wolves
738,Raúl Albiol,"190cm / 6'3""",82kg / 181lb,CB,Right,33,41,62,63,83,67,39,Spain,LALIGA EA SPORTS,Villarreal CF
739,Iris Arnaiz,"168cm / 5'6""",60kg / 132lb,CDM,Right,69,67,74,73,79,77,30,Spain,Liga F,Sevilla FC
740,Kepa,"189cm / 6'2""",85kg / 187lb,GK,Right,78,77,83,82,40,77,30,Spain,Premier League,AFC Bournemouth
741,Emil Audero,"192cm / 6'4""",83kg / 183lb,GK,Right,80,74,73,83,53,76,28,Italy,Serie A Enilive,Como
742,Ezequiel Ávila,"172cm / 5'8""",81kg / 179lb,ST,Right,77,80,65,77,45,85,31,Argentina,LALIGA EA SPORTS,Real Betis
743,Azpilicueta,"178cm / 5'10""",77kg / 170lb,CB,Right,59,55,76,72,81,74,35,Spain,LALIGA EA SPORTS,Atlético de Madrid
744,Álex Baena,"174cm / 5'9""",69kg / 152lb,LM,Right,74,75,80,78,65,67,23,Spain,LALIGA EA SPORTS,Villarreal CF
745,Alexander Bah,"183cm / 6'0""",75kg / 165lb,RB,Right,91,65,72,75,74,81,27,Denmark,Liga Portugal,SL Benfica
746,Johan Bakayoko,"179cm / 5'10""",70kg / 154lb,RW,Left,86,71,70,82,33,63,21,Belgium,Eredivisie,PSV
747,Leonardo Balerdi,"187cm / 6'2""",85kg / 187lb,CB,Right,64,45,62,68,80,77,26,Argentina,Ligue 1 McDonald's,OM
748,Elizabeth Ball,"168cm / 5'6""",60kg / 132lb,CB,Right,39,44,59,63,82,73,29,United States,NWSL,KC Current
749,Éver Banega,"176cm / 5'9""",78kg / 172lb,CM,Right,52,73,81,78,73,73,36,Argentina,Primera División,Newell's
750,Estefanía Banini,"160cm / 5'3""",58kg / 128lb,CM,Right,75,80,80,81,64,65,34,Argentina,Liga F,Levante Badalona
751,Abdülkerim Bardakcı,"185cm / 6'1""",80kg / 176lb,CB,Left,61,45,71,69,79,86,30,Turkey,Trendyol Süper Lig,Galatasaray
752,Molly Bartrip,"164cm / 5'5""",58kg / 128lb,CB,Right,69,56,69,68,81,77,28,England,Barclays WSL,Spurs
753,Vicki Becho,"168cm / 5'6""",62kg / 137lb,ST,Right,84,77,70,85,45,65,21,France,Arkema PL,OL
754,Laura Benkarth,"176cm / 5'9""",73kg / 161lb,GK,Right,81,80,79,78,45,77,32,Germany,Arkema PL,OL
755,Yuri Berchiche,"181cm / 5'11""",80kg / 176lb,LB,Left,79,68,74,75,77,83,35,Spain,LALIGA EA SPORTS,Athletic Club
756,Steven Berghuis,"182cm / 6'0""",75kg / 165lb,RW,Left,72,80,82,79,39,66,33,Holland,Eredivisie,Ajax
757,Steven Bergwijn,"178cm / 5'10""",78kg / 172lb,LW,Right,80,76,74,82,41,70,27,Holland,ROSHN Saudi League,Al Ittihad
758,Cristiano Biraghi,"185cm / 6'1""",78kg / 172lb,LB,Left,72,69,78,76,76,73,32,Italy,Serie A Enilive,Fiorentina
759,Marco Bizot,"193cm / 6'4""",88kg / 194lb,GK,Right,79,76,72,80,46,79,34,Holland,Ligue 1 McDonald's,Stade Brestois 29
760,Vilde Bøe Risa,"165cm / 5'5""",55kg / 121lb,CM,Right,64,68,73,79,63,74,29,Norway,Liga F,Atlético de Madrid
761,Sacha Boey,"178cm / 5'10""",76kg / 168lb,RB,Right,82,55,66,77,78,80,24,France,Bundesliga,FC Bayern München
762,Giacomo Bonaventura,"180cm / 5'11""",75kg / 165lb,CAM,Right,65,78,80,80,70,64,35,Italy,ROSHN Saudi League,Al Shabab
763,Jarrad Branthwaite,"195cm / 6'5""",74kg / 163lb,CB,Left,71,37,53,59,79,77,22,England,Premier League,Everton
764,Brian Brobbey,"180cm / 5'11""",78kg / 172lb,ST,Right,85,76,57,73,30,80,23,Holland,Eredivisie,Ajax
765,Signe Bruun,"178cm / 5'10""",68kg / 150lb,ST,Right,67,78,63,72,45,75,26,Denmark,Liga F,Real Madrid CF
766,Marcin Bułka,"199cm / 6'6""",90kg / 198lb,GK,Right,79,76,71,81,27,79,25,Poland,Ligue 1 McDonald's,OGC Nice
767,Linda Caicedo,"163cm / 5'4""",54kg / 119lb,LW,Right,86,70,79,80,38,47,20,Colombia,Liga F,Real Madrid CF
768,Jelena Čanković,"162cm / 5'4""",57kg / 126lb,CM,Left,73,79,75,82,59,71,29,Serbia,Barclays WSL,Brighton
769,Matheus Cunha,"183cm / 6'0""",76kg / 168lb,ST,Right,84,78,76,83,44,75,25,Brazil,Premier League,Wolves
770,Matty Cash,"185cm / 6'1""",74kg / 163lb,RB,Right,77,66,71,75,75,76,27,Poland,Premier League,Aston Villa
771,Valentin Castellanos,"178cm / 5'10""",70kg / 154lb,ST,Right,72,79,69,75,42,77,26,Argentina,Serie A Enilive,Latium
772,Catena,"194cm / 6'4""",82kg / 181lb,CB,Right,65,39,63,53,80,78,30,Spain,LALIGA EA SPORTS,CA Osasuna
773,Dani Ceballos,"179cm / 5'10""",70kg / 154lb,CM,Right,63,70,79,82,70,67,28,Spain,LALIGA EA SPORTS,Real Madrid
774,Mylène Chavas,"178cm / 5'10""",63kg / 139lb,GK,Left,79,78,75,81,39,79,27,France,Liga F,Real Madrid CF
775,Ben Chilwell,"181cm / 5'11""",77kg / 170lb,LB,Left,76,60,78,77,75,72,28,England,Premier League,Chelsea
776,Hawa Cissoko,"171cm / 5'7""",56kg / 123lb,CB,Right,51,34,60,54,79,79,27,France,Calcio A Femminile,Roma
777,Jordy Clasie,"170cm / 5'7""",68kg / 150lb,CDM,Right,57,64,79,75,72,69,33,Holland,Eredivisie,AZ
778,Sam Coffey,"164cm / 5'5""",60kg / 132lb,CM,Right,73,72,79,75,77,77,26,United States,NWSL,Portland Thorns
779,Aldana Cometti,"168cm / 5'6""",56kg / 123lb,CB,Right,62,30,56,63,80,80,29,Argentina,Liga F,Madrid CFF
780,Dante,"188cm / 6'2""",89kg / 196lb,CB,Left,32,52,69,65,81,79,41,Brazil,Ligue 1 McDonald's,OGC Nice
781,Jovana Damnjanović,"170cm / 5'7""",64kg / 141lb,ST,Right,79,77,70,77,43,77,30,Serbia,GPFBL,FC Bayern München
782,Andreia Jacinto,"169cm / 5'7""",59kg / 130lb,CM,Right,74,68,76,76,64,70,22,Portugal,Liga F,Real Sociedad
783,Charles De Ketelaere,"192cm / 6'4""",79kg / 174lb,CAM,Left,69,77,78,81,55,70,24,Belgium,Serie A Enilive,Bergamo Calcio
784,Marten de Roon,"185cm / 6'1""",76kg / 168lb,CM,Right,64,71,75,75,82,83,33,Holland,Serie A Enilive,Bergamo Calcio
785,Tainara,"169cm / 5'7""",61kg / 134lb,CB,Right,54,46,65,68,82,71,25,Brazil,GPFBL,FC Bayern München
786,Romain Del Castillo,"172cm / 5'8""",65kg / 143lb,RW,Left,84,76,78,81,42,65,28,France,Ligue 1 McDonald's,Stade Brestois 29
787,Kristin Demann,"169cm / 5'7""",63kg / 139lb,CDM,Right,65,52,77,71,77,77,31,Germany,GPFBL,VfL Wolfsburg
788,Savannah DeMelo,"163cm / 5'4""",57kg / 126lb,CAM,Right,66,76,78,80,52,67,26,United States,NWSL,Rac. Louisville
789,Ermedin Demirović,"185cm / 6'1""",84kg / 185lb,ST,Right,69,81,72,77,41,79,26,Bosnia and Herzegovina,Bundesliga,VfB Stuttgart
790,Sergiño Dest,"173cm / 5'8""",68kg / 150lb,LB,Right,91,60,75,82,72,69,24,United States,Eredivisie,PSV
